FrozenTrial(number=13, state=TrialState.COMPLETE, values=[117.8], datetime_start=datetime.datetime(2024, 2, 27, 16, 22, 6, 762012), datetime_complete=datetime.datetime(2024, 2, 27, 16, 35, 28, 514813), params={'lr': 1.3485992978010261e-06, 'batch_size': 1024, 'n_epochs': 8, 'clip_range': 0.2670574842044885, 'n_steps': 1024, 'gamma': 0.9963198449873422, 'seed': 344}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=13, value=None)
FrozenTrial(number=23, state=TrialState.COMPLETE, values=[605.0], datetime_start=datetime.datetime(2024, 2, 27, 17, 38, 38, 606896), datetime_complete=datetime.datetime(2024, 2, 27, 17, 47, 42, 726306), params={'lr': 1.2428725399835298e-05, 'batch_size': 128, 'n_epochs': 7, 'clip_range': 0.2754761455419416, 'n_steps': 1024, 'gamma': 0.9927729761882602, 'seed': 435}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=23, value=None)
FrozenTrial(number=47, state=TrialState.COMPLETE, values=[606.2], datetime_start=datetime.datetime(2024, 2, 27, 22, 10, 15, 296142), datetime_complete=datetime.datetime(2024, 2, 27, 22, 18, 56, 237842), params={'lr': 2.4764554220526692e-05, 'batch_size': 128, 'n_epochs': 7, 'clip_range': 0.2789195357258174, 'n_steps': 1024, 'gamma': 0.9959870301773975, 'seed': 582}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=47, value=None)
FrozenTrial(number=39, state=TrialState.COMPLETE, values=[651.0], datetime_start=datetime.datetime(2024, 2, 27, 20, 51, 46, 533867), datetime_complete=datetime.datetime(2024, 2, 27, 21, 12, 10, 345698), params={'lr': 0.0011395417443980011, 'batch_size': 512, 'n_epochs': 6, 'clip_range': 0.26632957723595563, 'n_steps': 1024, 'gamma': 0.9969838529694103, 'seed': 347}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=39, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[660.6], datetime_start=datetime.datetime(2024, 2, 27, 15, 23, 48, 177490), datetime_complete=datetime.datetime(2024, 2, 27, 15, 28, 44, 810588), params={'lr': 0.0018943043018645688, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.2782448909657816, 'n_steps': 1024, 'gamma': 0.99795139867755, 'seed': 503}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=5, value=None)
FrozenTrial(number=26, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 18, 6, 54, 4479), datetime_complete=datetime.datetime(2024, 2, 27, 18, 13, 16, 856687), params={'lr': 0.00024621752812331696, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.2994267518253265, 'n_steps': 512, 'gamma': 0.9933194350092525, 'seed': 520}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=26, value=None)
FrozenTrial(number=41, state=TrialState.COMPLETE, values=[684.6], datetime_start=datetime.datetime(2024, 2, 27, 21, 20, 7, 962993), datetime_complete=datetime.datetime(2024, 2, 27, 21, 28, 19, 992516), params={'lr': 1.828469205268643e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.28641650364258303, 'n_steps': 512, 'gamma': 0.9946363012321039, 'seed': 411}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=41, value=None)
FrozenTrial(number=49, state=TrialState.COMPLETE, values=[686.0], datetime_start=datetime.datetime(2024, 2, 27, 22, 26, 56, 97552), datetime_complete=datetime.datetime(2024, 2, 27, 22, 33, 53, 369581), params={'lr': 0.0004977600764665626, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.28247615061471426, 'n_steps': 1024, 'gamma': 0.9980387404420452, 'seed': 480}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=49, value=None)
FrozenTrial(number=36, state=TrialState.COMPLETE, values=[726.2], datetime_start=datetime.datetime(2024, 2, 27, 19, 54, 18, 772314), datetime_complete=datetime.datetime(2024, 2, 27, 20, 11, 43, 285492), params={'lr': 0.0007025320845252096, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.27826485348486785, 'n_steps': 512, 'gamma': 0.9923205677976272, 'seed': 298}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=36, value=None)
FrozenTrial(number=18, state=TrialState.COMPLETE, values=[731.0], datetime_start=datetime.datetime(2024, 2, 27, 17, 4, 10, 439566), datetime_complete=datetime.datetime(2024, 2, 27, 17, 9, 6, 863170), params={'lr': 0.0003286533723435152, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.2659555044480334, 'n_steps': 512, 'gamma': 0.9940620996511589, 'seed': 126}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=18, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 15, 49, 37, 8092), datetime_complete=datetime.datetime(2024, 2, 27, 15, 55, 7, 207583), params={'lr': 0.001613752927061355, 'batch_size': 256, 'n_epochs': 3, 'clip_range': 0.26088098412532557, 'n_steps': 1024, 'gamma': 0.9917334609189007, 'seed': 716}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=8, value=None)
FrozenTrial(number=33, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 19, 13, 2, 4054), datetime_complete=datetime.datetime(2024, 2, 27, 19, 26, 11, 969736), params={'lr': 8.478375064236576e-05, 'batch_size': 64, 'n_epochs': 6, 'clip_range': 0.29350217443094645, 'n_steps': 512, 'gamma': 0.9965823752000915, 'seed': 398}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=33, value=None)
FrozenTrial(number=34, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 19, 26, 11, 972325), datetime_complete=datetime.datetime(2024, 2, 27, 19, 40, 24, 530894), params={'lr': 0.00039198930755244394, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.27461491163206536, 'n_steps': 512, 'gamma': 0.9982388501879497, 'seed': 475}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=34, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 14, 57, 6, 629320), datetime_complete=datetime.datetime(2024, 2, 27, 15, 0, 54, 119381), params={'lr': 0.0009195816290314772, 'batch_size': 256, 'n_epochs': 3, 'clip_range': 0.2721320588310726, 'n_steps': 1024, 'gamma': 0.9906404038283658, 'seed': 220}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=1, value=None)
FrozenTrial(number=14, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 16, 35, 28, 518064), datetime_complete=datetime.datetime(2024, 2, 27, 16, 40, 14, 82646), params={'lr': 0.004622242051313287, 'batch_size': 256, 'n_epochs': 4, 'clip_range': 0.27683543883906225, 'n_steps': 512, 'gamma': 0.9988910461055688, 'seed': 182}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=14, value=None)
FrozenTrial(number=30, state=TrialState.COMPLETE, values=[803.2], datetime_start=datetime.datetime(2024, 2, 27, 18, 43, 28, 611651), datetime_complete=datetime.datetime(2024, 2, 27, 18, 49, 43, 832887), params={'lr': 3.478075227275233e-05, 'batch_size': 64, 'n_epochs': 7, 'clip_range': 0.28495849992006067, 'n_steps': 512, 'gamma': 0.9954453605526143, 'seed': 275}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=30, value=None)
FrozenTrial(number=31, state=TrialState.COMPLETE, values=[818.4], datetime_start=datetime.datetime(2024, 2, 27, 18, 49, 43, 834546), datetime_complete=datetime.datetime(2024, 2, 27, 19, 1, 51, 293347), params={'lr': 1.7642203761333945e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.28736713224692423, 'n_steps': 512, 'gamma': 0.9946146661472045, 'seed': 385}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=31, value=None)
FrozenTrial(number=20, state=TrialState.COMPLETE, values=[950.8], datetime_start=datetime.datetime(2024, 2, 27, 17, 15, 8, 419727), datetime_complete=datetime.datetime(2024, 2, 27, 17, 22, 47, 484135), params={'lr': 7.479905949013253e-05, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.26813425498650423, 'n_steps': 1024, 'gamma': 0.9930643040361928, 'seed': 538}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=20, value=None)
FrozenTrial(number=17, state=TrialState.COMPLETE, values=[1130.6], datetime_start=datetime.datetime(2024, 2, 27, 16, 58, 31, 375429), datetime_complete=datetime.datetime(2024, 2, 27, 17, 4, 10, 438485), params={'lr': 0.00029883671695168804, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.2661483120141391, 'n_steps': 1024, 'gamma': 0.9939493853154995, 'seed': 143}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=17, value=None)
FrozenTrial(number=48, state=TrialState.COMPLETE, values=[1145.8], datetime_start=datetime.datetime(2024, 2, 27, 22, 18, 56, 239604), datetime_complete=datetime.datetime(2024, 2, 27, 22, 26, 56, 95292), params={'lr': 0.00013865410532543426, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.2818011366931714, 'n_steps': 1024, 'gamma': 0.9977532362964471, 'seed': 487}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=48, value=None)
FrozenTrial(number=46, state=TrialState.COMPLETE, values=[1177.0], datetime_start=datetime.datetime(2024, 2, 27, 22, 1, 20, 627191), datetime_complete=datetime.datetime(2024, 2, 27, 22, 10, 15, 293929), params={'lr': 2.199321880062757e-05, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.282057606237678, 'n_steps': 1024, 'gamma': 0.9951215928145539, 'seed': 562}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=46, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[1453.8], datetime_start=datetime.datetime(2024, 2, 27, 15, 28, 44, 812329), datetime_complete=datetime.datetime(2024, 2, 27, 15, 35, 42, 69574), params={'lr': 1.807422236250875e-05, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.2714545419092977, 'n_steps': 1024, 'gamma': 0.9972839467661311, 'seed': 458}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=6, value=None)
FrozenTrial(number=29, state=TrialState.COMPLETE, values=[1521.4], datetime_start=datetime.datetime(2024, 2, 27, 18, 36, 40, 568621), datetime_complete=datetime.datetime(2024, 2, 27, 18, 43, 28, 609981), params={'lr': 3.741732703428545e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.28613049805341506, 'n_steps': 512, 'gamma': 0.9953268814150774, 'seed': 398}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=29, value=None)
