FrozenTrial(number=24, state=TrialState.COMPLETE, values=[-90.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 33, 2, 346558), datetime_complete=datetime.datetime(2024, 2, 27, 10, 37, 31, 42286), params={'lr': 0.0009185338886994612, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.17897660986292593, 'n_steps': 512, 'gamma': 0.9955307519091522}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=24, value=None)
FrozenTrial(number=14, state=TrialState.COMPLETE, values=[675.1], datetime_start=datetime.datetime(2024, 2, 27, 9, 56, 3, 779369), datetime_complete=datetime.datetime(2024, 2, 27, 9, 59, 11, 754224), params={'lr': 0.001622331593025264, 'batch_size': 16, 'n_epochs': 1, 'clip_range': 0.1498389702931086, 'n_steps': 2048, 'gamma': 0.9883169977224842}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=14, value=None)
FrozenTrial(number=0, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 2, 17, 834610), datetime_complete=datetime.datetime(2024, 2, 27, 9, 3, 58, 132162), params={'lr': 0.0054124915072876235, 'batch_size': 32, 'n_epochs': 2, 'clip_range': 0.23834412797457494, 'n_steps': 1024, 'gamma': 0.9978129429168917}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=0, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 33, 58, 644994), datetime_complete=datetime.datetime(2024, 2, 27, 9, 37, 32, 451186), params={'lr': 0.022452721016036545, 'batch_size': 16, 'n_epochs': 2, 'clip_range': 0.10397841414288976, 'n_steps': 1024, 'gamma': 0.9952077080725018}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=8, value=None)
FrozenTrial(number=12, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 48, 46, 52972), datetime_complete=datetime.datetime(2024, 2, 27, 9, 52, 14, 966849), params={'lr': 0.002962120647327992, 'batch_size': 32, 'n_epochs': 3, 'clip_range': 0.23627148759882294, 'n_steps': 512, 'gamma': 0.9979861610104382}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=12, value=None)
FrozenTrial(number=21, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 21, 46, 246611), datetime_complete=datetime.datetime(2024, 2, 27, 10, 25, 18, 855772), params={'lr': 0.0030312933379534617, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.26681771616067923, 'n_steps': 512, 'gamma': 0.9926028108015427}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=21, value=None)
FrozenTrial(number=27, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 46, 0, 216303), datetime_complete=datetime.datetime(2024, 2, 27, 10, 49, 18, 23534), params={'lr': 0.0008042334455030363, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.2547486436010798, 'n_steps': 512, 'gamma': 0.9937661455080424}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=27, value=None)
FrozenTrial(number=30, state=TrialState.COMPLETE, values=[680.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 58, 15, 996563), datetime_complete=datetime.datetime(2024, 2, 27, 11, 2, 17, 167262), params={'lr': 0.01120053122499788, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.24670804436467073, 'n_steps': 512, 'gamma': 0.9911602920639069}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=30, value=None)
FrozenTrial(number=37, state=TrialState.COMPLETE, values=[683.3], datetime_start=datetime.datetime(2024, 2, 27, 11, 29, 11, 377451), datetime_complete=datetime.datetime(2024, 2, 27, 11, 34, 0, 443088), params={'lr': 1.1649066538073172e-05, 'batch_size': 32, 'n_epochs': 5, 'clip_range': 0.25015961915701596, 'n_steps': 512, 'gamma': 0.9959936460127852}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=37, value=None)
FrozenTrial(number=19, state=TrialState.COMPLETE, values=[699.3], datetime_start=datetime.datetime(2024, 2, 27, 10, 15, 6, 777582), datetime_complete=datetime.datetime(2024, 2, 27, 10, 18, 35, 406546), params={'lr': 0.01434115707108977, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.17319870239482535, 'n_steps': 512, 'gamma': 0.9968569644245974}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=19, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 3, 58, 133403), datetime_complete=datetime.datetime(2024, 2, 27, 9, 5, 55, 900364), params={'lr': 0.0031322415381331726, 'batch_size': 64, 'n_epochs': 2, 'clip_range': 0.1419044803143703, 'n_steps': 512, 'gamma': 0.9924662704779212}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=1, value=None)
FrozenTrial(number=20, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 18, 35, 408308), datetime_complete=datetime.datetime(2024, 2, 27, 10, 21, 46, 243183), params={'lr': 0.0023918016810142166, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.26094508362659863, 'n_steps': 512, 'gamma': 0.9938001932315241}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=20, value=None)
FrozenTrial(number=28, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 49, 18, 25213), datetime_complete=datetime.datetime(2024, 2, 27, 10, 52, 36, 107330), params={'lr': 0.004615594529018831, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.2810271267116467, 'n_steps': 512, 'gamma': 0.9967594441280816}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=28, value=None)
FrozenTrial(number=33, state=TrialState.COMPLETE, values=[737.0], datetime_start=datetime.datetime(2024, 2, 27, 11, 12, 25, 682566), datetime_complete=datetime.datetime(2024, 2, 27, 11, 15, 54, 48183), params={'lr': 0.0012489931800884117, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.21543338223009278, 'n_steps': 512, 'gamma': 0.9984293689631828}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=33, value=None)
FrozenTrial(number=15, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 59, 11, 756825), datetime_complete=datetime.datetime(2024, 2, 27, 10, 2, 10, 538082), params={'lr': 0.021413816972546115, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.26199066922819453, 'n_steps': 512, 'gamma': 0.9953634754415556}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=15, value=None)
FrozenTrial(number=22, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 25, 18, 857278), datetime_complete=datetime.datetime(2024, 2, 27, 10, 28, 36, 270186), params={'lr': 0.0020692771513680253, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.2174421466356695, 'n_steps': 512, 'gamma': 0.9941318339574826}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=22, value=None)
FrozenTrial(number=31, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 11, 2, 17, 169554), datetime_complete=datetime.datetime(2024, 2, 27, 11, 6, 17, 550479), params={'lr': 0.0025240763766870675, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.2731116523463392, 'n_steps': 512, 'gamma': 0.9941305085613747}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=31, value=None)
FrozenTrial(number=43, state=TrialState.COMPLETE, values=[741.0], datetime_start=datetime.datetime(2024, 2, 27, 11, 55, 4, 498834), datetime_complete=datetime.datetime(2024, 2, 27, 11, 58, 6, 745878), params={'lr': 0.0014343590433919817, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.287737223924502, 'n_steps': 512, 'gamma': 0.9916262837347989}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=43, value=None)
FrozenTrial(number=34, state=TrialState.COMPLETE, values=[1080.5], datetime_start=datetime.datetime(2024, 2, 27, 11, 15, 54, 51633), datetime_complete=datetime.datetime(2024, 2, 27, 11, 20, 18, 150304), params={'lr': 5.814799588252479e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.2866437991283265, 'n_steps': 512, 'gamma': 0.992587806497435}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=34, value=None)
FrozenTrial(number=47, state=TrialState.COMPLETE, values=[1133.3], datetime_start=datetime.datetime(2024, 2, 27, 12, 14, 25, 628596), datetime_complete=datetime.datetime(2024, 2, 27, 12, 18, 41, 575935), params={'lr': 0.0001230653407708063, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.2712864952673723, 'n_steps': 512, 'gamma': 0.9935548835503779}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=47, value=None)
